Time(s)	wav file	Filter0	Filter1	Filter2	Filter3
0.0	132	2.0625	-3.875	2.0625	1045.9375
0.0625	196	3.3125	1037.625	3.0625	1579.625
0.125	4	20.8125	1690.3125	117.875	146.3125
0.1875	152	27.375	1297.4375	181.1875	1360.6875
0.25	205	19.515625	2747.71875	1.078125	2745.234375
0.3125	114	28.90625	1825.6875	141.71875	2605.203125
0.375	146	36.59375	2331.671875	189.734375	1373.109375
0.4375	232	34.1875	2901.71875	106.65625	3194.921875
0.5	114	36.859375	2897.8125	136.140625	2696.578125
0.5625	227	42.578125	2322.03125	218.453125	2915.234375
0.625	41	37.859375	3746.0625	103.578125	1640.5625
0.6875	133	35.765625	1490.046875	214.0625	3085.453125
0.75	237	25.109375	2886.015625	36.5625	2883.9375
0.8125	28	29.984375	2345.078125	122.75	2165.15625
0.875	35	32.875	1539.984375	219.078125	785.71875
0.9375	70	15.671875	2173.15625	21.859375	1678.390625
1.0	70	7.296875	814.359375	30.15625	2483.5625
1.0625	28	8.1875	902.65625	59.59375	504.203125
1.125	13	7.625	847.28125	59.46875	439.125
1.1875	208	5.03125	687.125	23.03125	2244.734375
1.25	173	12.171875	1873.328125	8.1875	1981.5
1.3125	64	31.0625	1703.375	191.6875	898.28125
1.375	98	32.359375	2340.203125	158.625	1041.25
1.4375	82	21.46875	2210.1875	57.53125	2397.046875
1.5	206	19.296875	1268.4375	91.328125	3109.015625
1.5625	211	25.546875	2490.6875	74.453125	2295.046875
1.625	87	38.953125	2546.5625	191.234375	1657.875
1.6875	197	41.046875	2555.359375	197.46875	2411.765625
1.75	169	34.234375	3318.671875	80.78125	3114.71875
1.8125	119	37.78125	2249.171875	184.921875	2803.203125
1.875	176	36.984375	2686.765625	157.1875	2259.75
1.9375	39	32.125	2855.703125	109.109375	2015.5625
2.0	91	27.9375	1450.625	163.8125	2213.34375
2.0625	42	16.078125	2145.359375	31.6875	1349.578125
2.125	83	12.484375	744.609375	82.78125	2135.015625
2.1875	218	12.140625	1419.5	36.046875	2102.109375
2.25	167	22.65625	2144.828125	75.140625	2152.421875
2.3125	111	37.265625	2221.0	202.171875	1403.046875
2.375	193	37.75	2787.203125	155.484375	2364.4375
2.4375	176	34.53125	2969.390625	103.953125	3274.296875
2.5	95	38.15625	2486.484375	180.046875	2262.90625
2.5625	189	36.6875	2475.625	164.4375	2555.0625
2.625	153	32.09375	2988.515625	87.953125	2881.15625
2.6875	247	37.734375	2179.703125	178.75	3539.0
2.75	71	40.96875	3609.984375	140.421875	1495.140625
2.8125	30	40.296875	2052.296875	230.84375	1945.03125
2.875	41	21.21875	2262.640625	62.703125	1636.28125
2.9375	60	7.546875	918.75	25.390625	2482.609375
3.0	166	6.453125	756.203125	34.78125	1927.3125
3.0625	145	15.171875	1697.90625	51.921875	1465.15625
3.125	245	30.03125	1809.84375	154.6875	2422.296875
3.1875	61	37.703125	3402.328125	132.09375	1126.171875
3.25	152	40.46875	1911.296875	230.484375	2731.046875
3.3125	29	27.15625	3195.296875	52.859375	1490.5
3.375	61	21.40625	888.4375	141.65625	2552.8125
3.4375	191	12.875	1711.234375	23.578125	2060.15625
3.5	243	19.546875	1808.328125	56.3125	3224.625
3.5625	101	36.90625	2613.890625	176.078125	1210.546875
3.625	16	41.828125	2578.671875	224.8125	820.25
3.6875	79	25.03125	2158.421875	92.484375	2260.15625
3.75	79	10.28125	1438.3125	12.28125	2604.65625
3.8125	94	10.859375	838.796875	70.34375	1618.359375
3.875	148	15.25	1452.078125	69.859375	1384.25
3.9375	35	19.71875	1893.34375	83.375	1004.390625
4.0	121	21.6875	1187.5625	136.1875	1710.484375
4.0625	122	16.5625	2158.140625	28.734375	1786.375
4.125	84	20.5625	1377.421875	110.953125	1952.65625
4.1875	149	22.9375	1755.09375	111.15625	1578.328125
4.25	203	24.5	2234.6875	77.125	2681.953125
4.3125	151	32.828125	2435.265625	138.28125	2321.171875
4.375	107	39.109375	2598.359375	188.46875	1704.96875
4.4375	197	35.65625	2621.015625	141.328125	2909.328125
4.5	238	34.015625	2871.671875	100.875	3644.8125
4.5625	159	43.03125	2949.421875	184.609375	2658.8125
4.625	189	48.625	3083.65625	223.46875	2576.46875
4.6875	2	41.671875	3547.171875	146.65625	1761.109375
4.75	61	30.359375	1490.703125	176.8125	2533.984375
4.8125	52	11.171875	1969.6875	-2.796875	1721.015625
4.875	240	9.703125	502.140625	56.84375	3467.5625
4.9375	185	20.234375	2429.15625	44.484375	1571.75
5.0	53	38.59375	2143.1875	222.53125	1104.203125
5.0625	176	37.0	2523.296875	171.890625	1987.09375
5.125	205	28.140625	2910.890625	49.46875	3642.703125
5.1875	226	36.546875	2242.84375	166.171875	3436.171875
5.25	243	47.375	3407.234375	192.015625	2562.203125
5.3125	9	51.140625	3790.625	210.296875	1697.953125
5.375	72	41.390625	2136.046875	227.9375	2407.328125
5.4375	180	19.15625	2495.859375	6.921875	3293.84375
5.5	49	17.375	1573.875	65.1875	2404.296875
5.5625	252	26.140625	1163.96875	167.640625	2217.65625
5.625	9	26.390625	3453.953125	39.96875	745.90625
5.6875	154	32.34375	754.5	237.40625	2838.0625
5.75	40	19.890625	3202.578125	1.96875	778.4375
5.8125	32	18.75	567.21875	143.21875	2371.453125
5.875	160	11.265625	1508.90625	32.765625	1400.203125
5.9375	83	12.203125	1611.90625	26.203125	1940.171875
6.0	125	21.765625	1090.28125	147.078125	1436.6875
6.0625	213	24.015625	2341.296875	74.9375	2052.921875
6.125	36	29.1875	2475.609375	114.203125	1691.796875
6.1875	90	31.390625	1514.890625	197.71875	1544.078125



2077.09390625
26.6959375
2073.8678125
113.78578125

The category of the music file is: "Classical".
